Cond,FAU,SPRY4,BCL3,AC007387_2,HEXIM1,CATG00000024278_1,GRPEL1,IREB2,CTB_55O6_10,CATG00000000897_1,NFIL3,PHF23,FBF1,CXXC5,CATG00000034361_1,TP53RK,AC027119_1,LINC00311,CDKN1A,SREBF1,PPARGC1B,BHLHE41,RNVU1_14,RNU2_38P,PDK4,CSRNP2,GUCY2GP,FGF10,HMGCR,FAM154A,RP11_177F15_1,RP11_787P24_1,CTD_3065J16_9,RP11_520H14_1,PASK,LDLR,PRICKLE1,RNU12,RP11_486M23_1,AC002511_3,AIG1,TSPAN8,C15orf39,CATG00000072417_1,C19orf80,MSMO1,DNAJA1,STAT5A,RPUSD1,SULT1C2,SNAI2,HES1,ALG2,TECTB,AACS,CATG00000027865_1,RNU2_6P,HELB,IDI1,DNLZ,CATG00000008210_1,GADD45A,RP13_1039J1_2,RIMBP3B,FREM2,RREB1,PSMD5,KLC2,CLDN4,TTC25,HSPH1,FFAR4,TIPRL,NANP,DDX47,CP,METTL1,UTP11L,FAM222A,C11orf53,TRIM35,THRSP,KCNK5,GFOD1,FABP3,HLA_DOA,TPX2,TMEM70,RP11_204L24_2,QRICH2,DUSP6,CCDC85C,EGLN3,C14orf28,RP11_699L21_1,ID2,RRP1B,RP3_406P24_3,AC004158_2,RIOK1,SLC25A21_AS1,TTL,NHLRC4,RP5_1136G13_2,CNTFR,NELFA,NPC1,NRXN3,CATG00000086393_1,ZNF442,CATG00000106133_1,CATG00000038824_1,FHOD1,AP1S3,KCNE1,CHADL,RP1_15D23_2,TMC1,ZNF620,PER1,RP11_326I11_4,RP11_7F17_3,NBPF10,ST3GAL1,DUSP14,STT3A_AS1,WEE1,PRPF38AP2,RP11_93L9_1,R3HDM1,PLS1,TRIM29,IER2,GRAMD4,LARP4,SHC2,RP11_442N24__B_1,GEN1,CBX4,TOR3A,PPRC1,AC104809_2,LINC01023,BHLHE40,ADAMTS1,CITED2,FGD6,CATG00000084124_1,ZBTB16,AC006481_1,AC018804_7,RRS1,TNFRSF18,UTP15,ANGPTL2,PFKFB3,LRP8,PAX8,MPZL1,NOP2,G3BP1,DIO2,GOLGA1,CLDND2,RARG,MCFD2,MTF1,INTS7,STIP1,RAB21,CATG00000056402_1,RNU5F_1,PLEKHO2,EMCN,CARS,NR1D1,PDLIM4,MESDC1,RP11_1136G11_6,CBWD3,PRPF40B,PPFIBP2,GLIS2,CEBPG,TSPAN14,CHAC1,SEMA7A,C5orf27,IL6R,TBX3,GEM,KLHL18,CYP2D6,SENP3_EIF4A1,RAB3IL1,MAPT,PLEKHG4,CCL23,AP000476_1,RP11_834C11_12,Class_,Patnr,CV_Split
NO131f2,91.577,2.162333333333333,7.886,0.382,27.664,0.763,49.986,105.695,0.763,1.526,2.862,9.539,1.526,4.0065,0.382,5.724,2.289,0.382,26.519000000000002,42.227,6.232666666666668,28.61766666666667,4.579,3.053,240.516,29.381,0.0,0.763,1.908,0.382,1.526,1.145,1.908,0.382,1.908,1.908,2.035,0.763,1.145,0.382,58.25299999999999,2.671,4.9605,0.763,39.683,9.539,41.845666666666666,3.481875000000001,0.763,0.382,26.328333333333333,25.947,49.222,0.763,9.158,0.0,0.763,2.671,17.934,0.0,0.763,10.684,0.763,0.0,497.567,4.502400000000001,69.064,4.1975,0.0,0.0,31.289,12.464666666666666,36.631,4.579,105.695,4.197,7.25,132.023,0.0,2.289,47.696,1.8826000000000003,3.434,2.671333333333333,0.0,0.382,2.2895,2.2895000000000003,1.145,0.0,33.32383333333333,0.763,0.382,57.617,0.763,6.105,4.5785,0.382,1.526,5.342,21.368,0.382,1.526,0.382,10.084428571428573,44.644,7.4405,0.3815,1.7169999999999999,3.434,0.763,1.145,64.4855,2.289,0.382,0.382,1.145,1.526,1.145,39.4925,9.158,24.802,0.382,46.17,24.611,0.763,0.382,2.289,0.382,14.881,0.382,0.0,46.17,2.09875,4.579,0.382,2.289,1.7175,27.473,19.842,23.657,0.0,0.0,1.399333333333333,3.2435,631.4975000000001,0.954,0.0,54.469,3.053,0.0,13.736,0.763,35.486,151.1778,59.90633333333333,1.526,1.1445,109.51,14.118,247.639,0.0,36.249,14.118,11.956000000000001,102.261,57.617,32.433,130.497,167.318,1.145,1.145,30.907,400.648,45.407,119.05,1.908,12.973666666666666,30.144,47.696,1.908,3.9682000000000004,12.973,6.296,29.889666666666667,0.0,2.289,1.5265,7.0207999999999995,30.271333333333335,0.0,14.5,4.96,77.077,17.171,1.526,0.382,1.526,1.145,7.6315,0.0,NO131,2.0
NO131h2,42.266,15.394666666666666,23.232333333333333,2.239,46.1845,0.84,112.522,68.017,3.919,2.519,24.7715,29.529999999999998,1.679,14.835,1.4,12.036,3.079,3.639,81.94225,138.7396666666667,23.232,63.25866666666666,13.995,7.557,34.895,68.577,0.28,0.28,5.878,3.359,10.356,3.079,1.959,1.959,0.56,20.153,6.0646666666666675,3.919,19.034,0.28,92.46166666666664,1.12,24.631999999999998,1.959,258.912,33.868,52.43533333333334,7.102500000000001,0.56,0.28,41.425999999999995,43.945,90.409,1.679,50.383,1.12,2.239,1.679,59.899499999999996,0.56,4.758,34.918,0.28,1.5395,179.419,9.964599999999999,134.634,40.726,0.0,1.12,47.864,34.334666666666664,55.421,23.792,90.969,1.4,10.636,150.309,0.84,1.12,113.081,9.759333333333338,3.919,6.438,0.84,0.56,6.438000000000001,8.257,2.519,1.12,63.072,1.12,2.239,35.268,1.12,19.313,23.512,0.28,1.679,10.916,9.517,0.84,0.28,3.359,17.194,29.11,20.713,0.42000000000000004,4.8985,7.837,5.318,1.12,69.696,0.84,10.636,0.84,1.679,0.28,1.4,13.575500000000002,3.079,7.837,0.28,90.409,115.8805,1.4,0.84,10.077,2.239,41.706,0.28,0.84,61.998999999999995,7.2775,27.431,1.959,10.636,6.438000000000001,74.735,45.345,44.505,3.359,0.28,20.712999999999997,7.977,268.9885,2.7990000000000004,1.12,7.3475,6.998,1.679,20.993,0.84,45.904,184.9048,37.274166666666666,16.514,1.5395,295.299,22.952,458.764,0.84,52.902,3.079,20.899666666666665,124.837,66.897,39.746,198.732,133.2345,2.519,1.959,125.397,245.196,80.053,20.713,3.639,17.16766666666667,65.498,71.935,2.239,6.941799999999999,45.345,16.934,35.548166666666674,38.347,1.679,2.659,9.517,59.153,0.28,34.148,3.919,156.187,47.864,4.851333333333334,1.12,1.4,2.799,12.092,1.0,NO131,2.0
NO135f2,53.29,5.885000000000001,5.231,0.0,25.500999999999998,0.0,83.368,79.118,0.654,0.327,7.193,4.577,0.981,2.125,0.654,5.558,3.923,0.327,9.31775,75.522,14.167000000000002,25.500666666666664,7.846,1.962,225.912,38.905,0.327,1.962,2.615,0.654,2.942,1.308,0.981,0.654,0.327,4.904,3.3786666666666663,0.981,3.923,10.462,62.66266666666667,3.269,6.212,0.654,17.981,9.808,44.02733333333333,3.514625,0.327,3.923,13.077333333333334,36.617,54.271,0.0,12.424,0.0,0.981,4.25,24.1935,0.981,0.981,32.6935,0.0,0.4905,286.722,5.427000000000001,102.658,11.443,0.0,1.635,22.885,6.538666666666668,44.463,10.462,93.503,0.981,10.789,140.255,0.654,2.289,54.271,1.8964000000000003,0.327,2.7243333333333335,0.0,0.981,3.7595,3.106,2.615,0.0,28.116333333333333,0.327,1.308,50.348,0.0,6.866,8.500499999999999,0.981,1.308,11.77,18.962,0.654,0.981,0.654,11.956714285714286,41.194,6.7025,0.327,0.1635,1.962,0.327,1.308,41.193999999999996,1.635,6.866,0.654,2.289,0.327,0.981,16.592,12.424,16.02,1.308,37.271,31.5495,2.289,0.327,1.308,2.289,17.001,0.981,0.0,53.617000000000004,3.75975,13.731,0.981,3.596,2.6155,17.981,27.136,32.04,0.0,1.635,1.1986666666666668,4.0865,897.6,1.308,0.0,3.18775,3.269,0.327,7.193,0.654,47.732,147.9706,100.25999999999999,1.308,1.6345,142.871,14.712,372.706,0.327,48.059,8.827,7.192666666666668,96.119,48.713,19.943,161.179,114.427,1.308,0.654,27.789,425.996,41.194,108.869,0.0,10.788666666666666,61.464,83.368,0.654,5.492400000000001,9.808,7.8465,23.15816666666666,2.942,0.654,0.1635,4.969600000000002,33.89233333333333,1.962,9.481,0.654,134.697,11.116,1.417,0.654,0.0,0.327,4.8713999999999995,0.0,NO135,0.0
NO135h2,40.953,9.041666666666666,17.462666666666667,5.585,82.4385,0.798,141.741,59.568,4.255,3.457,11.700999999999999,20.0775,1.596,18.748,2.659,9.042,5.053,13.828,78.31675,174.71666666666667,21.097333333333335,121.17599999999999,23.668,7.18,81.02033333333333,79.513,2.393,0.266,18.083,1.862,9.574,1.596,0.266,1.862,0.532,28.986,4.166,9.308,7.18,4.787,67.98966666666666,3.723,29.384999999999998,1.862,366.984,25.795,67.01466666666666,5.817375,0.798,2.659,24.377,65.951,76.056,1.33,40.953,0.798,2.127,1.862,50.526500000000006,1.064,0.532,37.097500000000004,1.33,7.579000000000001,257.687,6.861199999999999,110.893,49.197,0.0,1.33,28.986,14.626,61.696,12.233,83.768,0.532,13.031,169.664,2.393,2.925,119.403,10.0168,2.393,5.318666666666666,0.266,1.064,7.047000000000001,13.6955,9.574,2.393,15.557,0.532,2.659,34.837,0.266,10.371,22.205,1.862,1.064,11.967,7.978,1.862,0.0,1.596,13.524571428571429,21.54,14.7595,0.399,5.452,6.382,1.33,0.798,46.405,0.266,17.817,2.393,1.862,1.064,1.064,7.37975,2.925,8.244,1.33,48.665,87.358,1.596,0.0,8.776,0.532,41.485,0.266,0.798,106.372,9.373999999999999,20.743,0.798,22.072,4.654,80.577,63.026,53.718,21.54,1.064,29.429666666666666,10.77,309.1445,2.2605,2.925,2.99175,10.371,1.33,8.51,1.33,59.568,198.3308,43.52416666666667,7.712,1.4625,183.226,14.892,463.251,0.266,49.995,1.596,14.005666666666665,97.331,65.685,22.338,197.852,147.1925,2.925,2.127,82.438,358.74,64.355,90.416,1.33,10.725999999999999,77.386,65.685,1.862,9.467200000000002,26.593,10.371500000000001,26.859166666666667,46.272,9.308,0.665,6.3824,31.468333333333334,1.33,24.732,1.33,146.794,21.274,5.3183333333333325,0.266,0.266,0.0,7.1801,1.0,NO135,0.0
NO146f2,74.246,12.406666666666666,24.072,0.29,48.239999999999995,0.58,78.016,80.529,2.707,0.29,15.371,14.501,1.45,10.779,0.677,7.637,1.353,0.483,33.64225,70.53966666666666,12.470999999999998,32.708,10.827,2.514,118.45766666666667,41.376,0.097,0.29,2.804,0.967,3.964,2.127,0.967,0.773,0.967,6.09,3.6413333333333333,1.933,5.994,6.767,87.00666666666667,1.547,23.346999999999998,1.063,51.044,9.087,48.36933333333334,3.685625,1.16,0.967,27.80966666666667,41.86,66.995,0.193,12.084,0.387,0.967,1.74,22.0415,1.257,0.29,38.573,0.677,0.2415,232.404,5.452399999999999,99.091,13.341,1.547,0.677,47.467,18.625666666666664,49.884,14.308,94.837,2.61,15.758,130.51,0.773,1.643,94.16,1.6110666666666664,1.257,3.8343333333333334,1.45,1.16,3.722,3.577,3.094,0.097,32.48233333333334,0.58,1.063,44.47,0.87,14.888,14.6945,1.45,0.773,8.991,12.568,0.87,0.677,1.933,13.962428571428571,34.126,7.782,2.2235,3.577,2.514,3.48,1.257,33.2075,2.224,1.353,0.29,6.477,0.87,1.547,28.0355,4.834,11.118,0.967,41.183,86.765,1.45,1.257,3.867,2.61,29.002,0.483,0.58,65.1585,4.592,17.111,1.547,6.961,3.48,58.488,40.023,46.403,0.0,0.677,8.217333333333334,7.0085,451.3225,1.2085,0.193,25.3045,3.094,0.87,19.528,0.773,47.564,194.93339999999998,53.52516666666667,6.767,1.305,198.182,19.238,413.571,1.063,46.5,4.834,16.177,109.338,66.318,29.292,193.348,134.232,0.483,1.837,127.61,166.859,59.068,45.533,1.45,14.082,58.198,84.203,1.16,6.399800000000001,49.207,12.3745,31.209333333333333,4.157,1.353,0.5800000000000001,10.1314,27.74533333333333,1.547,20.592,0.0,126.353,34.029,4.576,0.87,1.063,0.967,7.8307,0.0,NO146,1.0
NO146h2,61.515,16.007,22.736333333333334,2.869,76.86800000000001,1.594,90.839,58.434,2.975,0.85,8.446,19.9205,2.656,11.0495,0.531,8.606,1.381,2.55,42.6835,92.75133333333333,12.784666666666665,34.458666666666666,9.349,3.825,100.54233333333333,41.435,0.106,1.487,1.912,1.594,3.294,1.487,0.212,0.85,1.275,6.162,3.6476666666666673,2.762,2.444,6.693,69.838,2.019,18.274,0.956,147.36,5.737,57.124,3.771625,0.531,1.381,33.39633333333334,43.666,68.74,0.319,14.449,0.106,0.956,2.975,20.398500000000002,1.062,1.912,33.387,0.956,0.6375,246.167,6.310600000000001,82.977,8.818000000000001,0.956,0.0,50.678,19.47833333333333,49.191,15.512,96.151,0.85,15.83,133.549,0.744,0.744,93.282,1.6786,1.169,4.1433333333333335,0.956,1.594,3.984,3.3995,2.55,0.106,56.00800000000001,0.637,1.594,35.698,0.319,15.193,15.8305,1.381,0.637,15.405,8.606,1.275,0.531,0.956,15.481285714285715,32.936,8.020999999999999,3.2935,3.5595,3.612,2.975,1.7,43.081999999999994,1.275,0.85,0.531,7.756,0.425,0.956,23.852,4.887,11.899,1.912,47.279,83.561,0.744,0.212,2.762,0.637,30.067,0.319,0.106,62.737,4.728,10.518,0.744,11.049,3.453,39.523,44.41,41.86,0.425,0.531,3.86,7.0120000000000005,669.3375,2.125,0.744,17.02575,4.781,1.381,19.868,0.956,43.666,200.24880000000002,29.89,4.037,0.6375,195.383,19.124,390.022,0.744,49.085,6.481,12.607666666666667,96.682,65.871,32.298,207.07,138.861,1.169,0.425,142.686,190.814,41.435,48.978,2.337,10.305666666666667,64.384,90.414,1.169,7.713199999999999,62.153,13.493,27.517166666666668,8.712,1.275,0.956,10.1358,26.06533333333334,2.019,21.143,0.212,126.643,36.76,6.2683333333333335,1.062,0.106,1.594,9.264500000000002,1.0,NO146,1.0
NO150f2,58.786,1.9320000000000002,9.935666666666668,0.0,23.183,0.0,49.678,81.969,0.0,0.0,2.07,5.796,3.312,11.5915,0.0,6.624,1.656,0.0,21.32025,35.602666666666664,6.347666666666666,32.842999999999996,7.452,0.828,181.60066666666668,28.151,0.0,0.828,0.828,0.828,1.656,4.14,0.0,0.0,0.0,4.968,1.9319999999999997,2.484,2.484,8.28,80.58866666666667,3.312,14.0755,1.656,8.28,3.312,33.394666666666666,4.450375,0.0,0.0,15.455333333333334,23.183,45.538,0.828,4.14,0.0,1.656,2.484,12.0055,0.0,1.656,14.48925,0.828,0.0,344.434,5.2989999999999995,67.893,4.968,0.828,0.0,42.226,10.487666666666668,44.71,7.452,69.549,4.968,6.624,115.087,0.0,0.0,59.614,0.6072000000000001,0.0,2.2079999999999997,1.656,0.0,3.726,2.898,0.0,0.0,18.491333333333333,0.0,0.0,54.646,0.828,21.527,8.693999999999999,1.656,2.484,6.624,14.075,0.828,0.828,0.0,12.301285714285715,26.495,4.140000000000001,0.828,0.414,1.656,0.828,0.0,26.909,0.0,0.0,0.0,4.14,0.0,0.0,34.98175,4.968,14.075,0.0,28.979,40.9845,1.656,1.656,0.828,0.0,26.495,2.484,0.0,31.049,2.484,9.936,0.828,5.796,2.07,38.086,25.667,28.151,0.0,0.828,1.1039999999999999,1.656,529.4835,1.242,0.0,21.52725,4.968,0.0,10.764,0.0,39.742,120.05500000000002,71.75716666666666,4.14,1.242,142.41,10.764,291.444,0.0,40.57,8.28,6.623666666666666,85.28,38.086,16.559,221.895,110.1195,0.0,2.484,92.732,176.357,30.635,102.668,1.656,8.831666666666667,30.635,99.356,0.828,5.1335999999999995,14.075,8.2795,24.977,8.28,0.0,0.414,5.2989999999999995,26.218666666666664,2.484,14.075,0.0,83.625,19.871,8.831666666666667,1.656,0.0,0.0,8.776599999999998,0.0,NO150,2.0
NO150h2,38.776,18.204666666666665,47.696,0.0,69.0865,1.092,85.743,58.437,3.823,0.0,11.469000000000001,22.938000000000002,0.0,14.1995,3.277,9.83,3.277,0.0,29.21825,52.065333333333335,14.927666666666667,47.514,23.484,5.461,106.86066666666666,55.706,0.546,2.185,5.461,1.638,7.646,2.185,0.546,0.546,1.638,3.277,5.279333333333334,6.554,6.554,2.731,60.257000000000005,1.638,17.4765,2.185,13.653,18.023,53.52133333333333,5.051749999999999,1.638,0.0,37.137,72.636,63.352,0.546,13.107,1.638,0.0,1.638,21.026,2.185,3.277,25.9415,0.0,0.0,317.305,5.1335999999999995,120.696,14.7455,0.546,0.0,60.075,9.830333333333334,62.806,18.569,73.182,1.092,18.569,160.564,0.546,4.369,107.589,0.5824666666666667,2.185,4.3693333333333335,2.731,0.546,6.8265,4.6419999999999995,5.461,0.0,21.6635,0.546,2.185,38.776,1.638,19.115,15.0185,2.731,1.092,12.561,3.277,1.638,1.092,2.731,13.809285714285712,25.668,12.015,1.365,0.546,0.546,2.731,1.638,43.418000000000006,3.277,0.0,2.731,4.369,0.546,1.638,26.2145,7.646,10.377,3.823,50.791,88.47399999999999,2.185,0.546,8.192,0.0,20.207,1.638,0.0,111.9585,3.823,28.399,0.0,15.292,7.0995,74.275,39.322,61.167,0.546,1.638,9.466333333333333,8.465499999999999,290.81800000000004,1.3655,0.0,19.251250000000002,11.469,0.0,20.207,0.546,46.968,160.7828,60.62116666666666,6.554,1.6385,181.864,7.646,414.518,1.092,55.16,3.277,14.017666666666669,109.774,87.928,19.661,279.622,131.892,0.0,13.653,155.103,175.31,40.96,73.728,2.731,14.563666666666668,57.891,98.305,0.546,8.1922,36.591,15.0185,25.12216666666667,10.377,2.185,0.819,12.997800000000002,31.311666666666664,1.092,18.023,3.277,123.427,43.145,6.371666666666667,0.0,1.092,1.638,14.1451,1.0,NO150,2.0
NO22f2,36.512,5.305,4.837,0.0,38.6185,0.0,53.364,74.429,0.468,0.468,1.8725,6.7875,2.341,4.447,0.936,4.213,0.936,0.468,15.447500000000002,41.037,6.085333333333334,38.696666666666665,6.085,0.936,236.70466666666664,41.193,0.0,2.341,2.809,1.404,2.809,0.468,0.468,0.468,0.468,1.404,3.276666666666667,0.936,0.468,1.404,77.23733333333334,0.468,2.8085,0.936,8.894,3.745,54.611999999999995,3.9787500000000002,0.468,1.404,18.724333333333334,34.172,61.79,0.0,5.617,0.0,0.468,3.745,17.5535,2.809,0.468,23.288,0.936,0.0,431.592,5.055400000000001,92.216,9.128,0.468,2.809,25.746,9.362,41.661,4.681,102.515,2.809,14.043,129.665,1.404,0.468,59.917,0.5929333333333333,0.468,2.808666666666667,0.468,1.872,2.5745,5.3835,1.404,0.0,17.865666666666666,0.468,0.0,56.641,2.341,1.872,4.6815,0.468,0.936,7.958,14.511,0.0,0.0,0.0,12.036857142857142,35.108,5.149,1.1705,0.9359999999999999,3.745,1.404,1.872,40.257000000000005,0.0,0.468,0.468,4.213,1.872,1.404,44.937749999999994,7.958,20.128,3.277,34.172,37.214,2.809,0.936,1.872,2.341,14.979,1.404,0.936,63.6625,2.9255,7.958,0.0,4.681,3.0425,22.469,27.618,27.618,0.0,0.936,1.5603333333333333,3.2765,530.1274999999999,0.936,0.0,37.33149999999999,2.809,0.936,9.83,1.404,50.087,250.6228,47.20066666666668,0.936,0.936,158.687,13.107,372.611,0.936,39.789,5.617,10.61,108.132,68.343,22.469,146.048,182.7945,0.0,0.468,45.874,390.399,44.938,111.877,0.468,11.858333333333334,55.704,71.62,0.0,5.617399999999999,40.257,7.7235,31.752999999999997,1.404,0.936,0.0,4.3066,36.512,0.468,18.724,0.468,112.345,8.894,2.6526666666666667,0.0,0.936,4.213,7.489700000000001,0.0,NO22,0.0
NO22h2,14.5,17.795333333333332,16.587333333333333,2.966,123.58,0.989,78.103,60.307,3.625,1.318,15.8185,19.9375,0.659,12.5225,1.648,10.545,5.602,3.625,55.94050000000001,94.58,13.511666666666668,95.78833333333334,13.511,4.614,52.508,96.557,3.625,1.977,9.557,1.318,6.261,0.33,0.0,0.33,0.659,30.648,4.943333333333333,5.273,7.58,0.989,80.95833333333333,0.659,18.948999999999998,0.33,267.592,22.08,112.59500000000001,5.3965,1.318,1.977,25.485333333333333,65.58,107.103,2.966,12.523,0.659,1.977,4.284,40.864000000000004,1.318,1.318,41.769999999999996,0.659,0.8240000000000001,200.035,6.0638,123.58,38.2275,0.33,0.659,65.58,21.090999999999998,60.637,10.545,78.432,0.659,16.477,215.524,1.648,0.989,109.41,4.5478,1.648,4.613666666666667,0.33,0.659,3.955,8.568,4.943,0.659,77.16883333333332,0.989,0.989,46.796,0.659,10.545,11.2045,0.989,1.648,15.489,10.875,0.0,0.0,0.659,13.841,16.807,15.983,0.33,5.7669999999999995,5.602,1.318,3.955,57.341,0.659,5.273,0.33,4.943,1.318,1.648,8.23875,5.602,6.92,1.318,48.443,75.9605,0.989,2.966,3.295,2.636,21.421,0.33,0.989,93.097,3.9547500000000007,18.784,0.0,8.898,4.7785,64.262,42.841,53.387,0.659,1.318,16.587,10.875,316.0355,2.801,0.33,5.272749999999999,8.568,0.659,18.455,0.0,49.432,326.2512,11.094833333333334,4.943,1.1535,227.387,17.466,563.196,1.648,49.432,2.966,22.299666666666667,146.648,108.75,48.443,244.524,200.85850000000002,3.955,3.625,116.989,303.183,63.932,29.989,0.659,11.314666666666666,82.716,88.648,0.989,6.590999999999999,71.512,9.392,32.954666666666675,7.58,0.989,1.483,10.2158,47.564666666666675,0.989,20.432,0.659,145.66,21.421,4.833333333333333,0.0,0.989,8.898,10.644200000000001,1.0,NO22,0.0
NO27f2,115.441,3.921,7.709666666666667,0.199,27.415,0.399,63.403,86.332,0.199,0.0,3.5885,10.268,1.595,7.6765,0.598,4.785,0.997,0.0,19.639,34.227000000000004,5.117333333333333,21.798999999999996,4.187,1.994,219.58466666666666,32.1,0.199,0.199,2.991,0.598,1.794,0.798,1.396,0.798,0.798,2.991,1.8613333333333333,1.794,0.997,9.969,72.57433333333333,2.791,8.175,0.598,9.57,6.978,40.208333333333336,2.6417500000000005,0.598,0.0,23.992,28.511,57.621,0.199,4.386,0.0,0.598,2.791,21.233999999999998,0.997,0.0,20.586,0.598,0.0,262.186,5.104000000000001,72.774,4.785500000000001,1.994,0.199,40.275,14.155999999999999,40.076,8.374,97.697,1.396,12.162,123.815,0.399,1.595,79.752,0.9436666666666668,0.399,3.5886666666666667,0.399,0.598,1.6949999999999998,3.7885,2.393,0.0,36.187333333333335,0.598,1.196,66.194,0.0,10.168,5.5825,1.794,1.196,6.978,19.739,0.199,0.997,1.196,9.228428571428571,44.263,4.087,2.0934999999999997,0.39849999999999997,1.994,1.396,0.598,34.9915,0.997,0.598,0.598,1.595,1.196,1.595,47.103750000000005,6.779,19.539,0.997,42.269,36.786,0.997,2.592,0.997,2.592,17.944,0.598,0.0,42.867,3.3895,6.779,2.193,4.386,1.894,18.941,33.695,35.689,0.0,1.196,1.861,3.2895,564.347,1.3955,0.0,45.75775,2.193,1.396,12.96,1.595,34.692,169.47359999999998,95.73599999999999,1.396,0.4985,148.14,16.748,356.293,0.399,42.069,6.978,13.026333333333334,109.261,52.238,21.932,155.916,140.8625,0.0,0.997,81.945,211.942,45.259,79.752,0.997,13.624333333333333,46.655,62.007,0.598,6.6592,31.502,9.4705,28.411666666666672,1.196,0.997,0.1995,8.733,25.12166666666667,0.798,19.539,0.0,76.762,22.131,4.3196666666666665,0.598,0.598,1.595,5.3632,0.0,NO27,1.0
NO27h2,69.885,20.173000000000002,27.665999999999997,4.179,106.77250000000001,1.441,91.499,70.606,4.035,1.153,13.256499999999999,26.441000000000003,1.729,15.058,0.72,9.798,3.458,4.179,50.64849999999999,107.39733333333334,13.160333333333334,32.99733333333333,11.672,5.62,71.374,49.28,0.72,0.432,2.017,1.585,4.899,1.729,1.009,1.297,1.729,8.646,5.139666666666667,4.899,4.611,8.646,74.304,2.161,23.631,1.585,206.341,6.052,62.344,5.4035,0.576,0.0,38.42466666666667,58.79,76.946,0.72,17.868,0.0,0.576,3.891,27.9545,2.017,1.441,39.949749999999995,1.009,1.081,222.48,5.6482,88.329,13.1125,1.441,0.72,63.401,26.945333333333334,51.873,16.138,92.796,0.576,16.859,136.888,2.161,1.585,104.467,2.411266666666667,1.297,5.907666666666667,2.882,1.009,5.2595,3.8905000000000003,3.891,0.432,77.44983333333333,0.432,2.305,39.049,1.009,20.029,17.5795,0.72,0.576,11.527,11.383,0.576,1.297,1.585,14.018142857142857,39.337,11.3115,3.7460000000000004,1.2245,3.026,6.196,1.441,69.88499999999999,1.153,0.865,1.297,0.144,0.288,1.873,23.199,5.764,9.942,0.576,53.17,82.061,1.009,1.297,5.476,1.441,25.072,0.0,0.144,83.502,5.2235,14.265,1.873,16.138,4.0345,43.948,48.559,47.262,0.72,0.576,5.907666666666667,8.6455,322.912,2.0895,1.297,18.84025,5.187,2.45,20.893,2.305,47.551,161.6438,32.613,1.585,0.21599999999999997,221.183,24.064,463.691,0.432,46.542,4.035,17.867666666666665,108.934,57.061,37.752,217.724,133.214,0.865,1.009,184.439,198.704,51.729,32.277,3.026,16.186666666666664,90.202,72.767,0.72,7.291199999999999,80.26,17.9395,34.9665,15.562,1.873,0.9369999999999999,12.680000000000001,33.04533333333334,2.161,24.352,0.0,160.52,50.433,6.196000000000001,1.585,0.865,0.576,9.625200000000001,1.0,NO27,1.0
